NumeroProcurado,ComparacoesLista,ComparacoesBST
15449,7269,13
16794,7630,20
2264,6603,11
28803,6939,12
9629,3811,14
21149,1914,16
32357,7555,15
8586,8824,20
7451,2233,21
22122,7529,15
10173,8261,16
18186,7498,21
18167,9498,18
28877,5313,14
27702,615,22
25986,2112,17
29444,8069,19
25683,3879,14
14323,8865,14
14008,7763,17
26001,4274,15
24348,4883,15
4376,6520,14
12544,5934,24
5228,6317,14
31687,9182,13
3063,6959,17
2829,2876,13
22382,7140,18
5266,6033,14
28660,3039,12
27100,3910,21
23944,8721,13
11163,4222,24
20548,9377,12
21507,2026,18
4572,7478,11
7445,7467,17
23061,2272,23
32295,1098,16
21736,6924,17
22029,3442,21
2366,8944,10
22157,394,19
32324,9819,9
21265,9817,11
7429,2589,20
20209,5592,17
25508,8920,9
3403,2387,17
787,2788,14
10061,4250,21
19413,1344,16
6975,5732,17
17006,4994,23
14651,3705,17
31743,4390,12
6516,2118,20
22632,158,15
28452,7471,13
17202,2926,25
15781,8621,20
10682,3480,21
10319,609,19
17229,1272,22
19852,1226,20
464,8079,9
22870,7821,18
30190,3981,19
6926,3475,18
15336,9365,12
24294,3492,24
14229,9066,15
3949,7598,12
6227,8210,16
2245,373,14
13952,8077,21
19254,7424,12
24503,7912,17
18,3373,14
28690,8274,10
5821,9463,15
13422,7692,17
12939,6656,20
8930,9596,16
10112,665,15
22548,6623,17
15500,1767,16
16274,2757,26
21696,8972,14
12181,9969,9
10122,5432,18
16261,5622,24
4814,8835,12
8380,5364,15
10601,4310,17
31,8211,10
7826,9516,11
20670,207,13
4858,878,14
18431,7166,18
25941,5739,14
5238,2617,16
17820,9229,16
26917,4632,18
16836,4948,19
1084,8546,13
13354,2402,19
19864,1175,20
12429,4763,20
25785,9570,10
31472,1080,16
14918,8300,15
10623,5949,16
6939,3937,16
29940,7408,18
27210,800,16
27754,6187,19
2380,9865,8
1083,8256,14
24437,7122,19
16882,2746,20
16078,3662,24
28496,8447,11
28205,3665,14
18158,395,19
21657,7193,16
20570,4700,18
24202,586,20
828,1595,21
19966,8984,13
4461,9490,10
11164,3954,25
8966,9771,14
17233,6230,21
28288,1357,12
14077,6289,20
8437,9310,12
15091,4778,20
14470,3193,18
19961,9091,12
22650,6485,22
23783,5426,16
23641,9696,11
4361,622,15
14736,1547,19
18422,8684,14
28703,3440,14
17548,7026,22
16375,5120,24
1593,824,12
15008,8365,16
29197,1572,12
20168,6374,14
11578,2543,19
6508,2716,19
14055,5802,23
22165,8877,16
22770,3425,21
17494,1292,28
10779,597,19
22466,9903,10
4729,7202,13
25323,3699,14
29993,4336,17
1871,2939,16
32361,980,19
23479,8285,15
25547,619,10
15663,7203,18
13280,4690,16
17465,2899,25
3610,9334,12
19151,8021,13
23571,8224,13
26506,5565,15
20849,783,15
22825,5898,20
19208,9283,10
25688,5128,11
17937,8955,16
9107,3841,25
12371,6018,20
729,950,11
4442,7956,13
31077,4425,15
18983,6410,11
6453,649,21
24631,6615,15
9631,2337,15
4224,7859,14
9659,7261,14
11882,9899,11
27794,4048,14
17375,614,21
30618,9753,9
20663,1377,12
21769,5091,14
29198,8057,10
4611,8244,12
21112,6431,17
23736,9547,12
10568,7328,16
31128,8951,14
9295,3563,19
27138,8355,16
1024,5588,16
15527,4856,18
32109,3784,17
25915,5810,11
10727,8192,19
16671,1825,24
16830,9266,17
5490,1206,14
25497,1312,15
25792,1922,14
3986,4810,13
28803,6939,12
11657,3561,18
18520,3627,20
21158,3761,16
29473,7919,19
28878,1944,15
4378,7304,13
25499,4069,14
19615,8037,11
11407,9002,20
21999,107,19
30190,3981,19
28533,5163,13
28449,6303,14
28947,363,17
20341,9221,14
12233,1661,20
148,3006,13
31384,6686,15
820,2664,21
20385,23,18
3208,22,16
14200,1864,19
15272,1313,19
13916,5260,22
12197,9754,11
3348,4626,13
6755,4785,14
21060,695,21
22299,219,20
29101,8089,13
29934,1822,24
23136,7284,16
25356,9092,10
17095,2012,23
